PedAve,CarAve,Latitude,Longitude,total_pop,black,OccoRat,Tree,Traffic,Resi,Vaca,Comm,ComSev,BusStop,Housing Violations (Req_Serv),Police Issue (Req_Serv),Pot Hole (Req_Serv),road walking environment,Traffic problems,garbage problem,Junk service problem,Neighborhood Environmental Issues,Assault,NovioCrime,Homicide,Robbery,SexualC,ACCIDENT PROPERTY DAMAGE ONLY,ACCIDENT SKYWAY/33/198,ACCIDENT/INJURY,Assault%,Homicide%,Robbery%,SexCrime%,NonviolentCrime%,Theft of Vehicle%
0,112,42.931329,-78.839262,1489,89.45601075,75.08650519,1048,802,598,305,49,3,18,64,2,480,72,20,36,46,42,6,18,0,0,0,2,0,2,51.4439221,1.611820013,13.83478845,2.41773002,83.00873069,17.46138348
0,64,42.931329,-78.839262,1489,89.45601075,75.08650519,1048,802,598,305,49,3,18,64,2,480,72,20,36,46,42,8,42,0,0,0,6,0,2,51.4439221,1.611820013,13.83478845,2.41773002,83.00873069,17.46138348
0,214.75,42.929389,-78.897412,126,13.49206349,62.68656716,110,938,14,40,31,0,16,4,8,100,24,8,12,2,0,2,4,0,0,0,6,0,0,33.33333333,1.587301587,46.03174603,0,239.6825397,58.73015873
0,279.25,42.929389,-78.897412,126,13.49206349,62.68656716,110,938,14,40,31,0,16,4,8,100,24,8,12,2,0,2,0,0,4,0,12,0,0,33.33333333,1.587301587,46.03174603,0,239.6825397,58.73015873
0,183,42.929389,-78.897412,126,13.49206349,62.68656716,110,938,14,40,31,0,16,4,8,100,24,8,12,2,0,0,4,0,0,0,4,0,0,33.33333333,1.587301587,46.03174603,0,239.6825397,58.73015873
0,162.6666667,42.929389,-78.897412,126,13.49206349,62.68656716,110,938,14,40,31,0,16,4,8,100,24,8,12,2,0,0,2,0,0,0,2,0,0,33.33333333,1.587301587,46.03174603,0,239.6825397,58.73015873
0,235.25,42.929389,-78.897412,126,13.49206349,62.68656716,110,938,14,40,31,0,16,4,8,100,24,8,12,2,0,0,0,0,0,0,0,0,0,33.33333333,1.587301587,46.03174603,0,239.6825397,58.73015873
0,286.6666667,42.929389,-78.897412,126,13.49206349,62.68656716,110,938,14,40,31,0,16,4,8,100,24,8,12,2,0,0,0,0,0,0,6,0,8,33.33333333,1.587301587,46.03174603,0,239.6825397,58.73015873
0,287.6666667,42.929389,-78.897412,126,13.49206349,62.68656716,110,938,14,40,31,0,16,4,8,100,24,8,12,2,0,0,12,0,4,0,22,0,4,33.33333333,1.587301587,46.03174603,0,239.6825397,58.73015873
0,71,42.887848,-78.839239,1415,68.97526502,60.31606673,1140,988,349,714,67,14,16,40,0,304,50,0,30,32,22,10,18,0,0,2,6,0,0,49.61130742,1.554770318,17.66784452,3.674911661,112.3674912,21.20141343
0,69,42.887848,-78.839239,1415,68.97526502,60.31606673,1140,988,349,714,67,14,16,40,0,304,50,0,30,32,22,2,10,0,4,0,12,0,0,49.61130742,1.554770318,17.66784452,3.674911661,112.3674912,21.20141343
0,59,42.887848,-78.839239,1415,68.97526502,60.31606673,1140,988,349,714,67,14,16,40,0,304,50,0,30,32,22,8,14,0,2,0,14,0,0,49.61130742,1.554770318,17.66784452,3.674911661,112.3674912,21.20141343
0,98,42.887848,-78.839239,1415,68.97526502,60.31606673,1140,988,349,714,67,14,16,40,0,304,50,0,30,32,22,8,8,0,0,0,6,0,14,49.61130742,1.554770318,17.66784452,3.674911661,112.3674912,21.20141343
0,75,42.887848,-78.839239,1415,68.97526502,60.31606673,1140,988,349,714,67,14,16,40,0,304,50,0,30,32,22,6,10,0,6,0,16,0,2,49.61130742,1.554770318,17.66784452,3.674911661,112.3674912,21.20141343
0,97,42.887848,-78.839239,1415,68.97526502,60.31606673,1140,988,349,714,67,14,16,40,0,304,50,0,30,32,22,16,56,0,2,2,12,0,8,49.61130742,1.554770318,17.66784452,3.674911661,112.3674912,21.20141343
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,2,14,0,0,0,12,0,2,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,10,42,2,2,0,20,0,2,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,10,28,0,2,2,14,0,2,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,14,46,0,0,0,26,0,12,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,12,100,0,0,0,76,0,12,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,14,76,0,2,4,76,0,16,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,6,48,0,2,0,82,0,8,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,18,48,0,2,2,92,0,8,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,20,86,0,10,4,72,0,14,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,0,0,0,0,0,0,0,0,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,44,236,0,6,12,76,0,8,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,24,76,0,0,0,86,0,6,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,22,118,0,12,2,72,0,4,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,18,72,0,2,0,66,0,10,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,16,102,0,4,2,60,0,10,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,32,152,0,12,2,74,0,30,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,28,104,0,4,4,92,0,20,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,30,82,0,4,0,84,2,14,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,38,140,0,6,4,86,0,20,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,26,58,0,2,2,78,0,6,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,20,92,0,10,4,78,0,14,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,14,60,2,4,0,98,0,24,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,26,132,0,12,2,74,0,34,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,0,42.887006,-78.877949,1294,52.47295209,65.61514196,720,4670,0,7,149,25,60,6,14,612,62,30,4,4,16,24,60,0,8,0,84,0,12,137.7125193,1.545595054,28.438949,12.67387944,440.8037094,24.42040185
0,142,42.908048,-78.813729,1993,79.82940291,67.6199262,1178,2226,663,400,40,18,20,42,0,538,64,24,50,54,28,6,6,0,2,0,8,0,6,57.80230808,1.50526844,18.46462619,3.712995484,97.84244857,17.16006021
0,183,42.908048,-78.813729,1993,79.82940291,67.6199262,1178,2226,663,400,40,18,20,42,0,538,64,24,50,54,28,4,6,0,4,0,6,0,4,57.80230808,1.50526844,18.46462619,3.712995484,97.84244857,17.16006021
0,197,42.908048,-78.813729,1993,79.82940291,67.6199262,1178,2226,663,400,40,18,20,42,0,538,64,24,50,54,28,0,0,0,0,0,0,0,0,57.80230808,1.50526844,18.46462619,3.712995484,97.84244857,17.16006021
0,251,42.908048,-78.813729,1993,79.82940291,67.6199262,1178,2226,663,400,40,18,20,42,0,538,64,24,50,54,28,8,8,0,0,2,30,0,20,57.80230808,1.50526844,18.46462619,3.712995484,97.84244857,17.16006021
0,163,42.921857,-78.839374,419,93.31742243,75.68807339,366,3140,73,118,49,4,30,4,2,106,18,0,12,12,18,0,4,0,0,0,14,4,4,67.78042959,1.431980907,22.43436754,6.682577566,137.4701671,31.02625298
0,183,42.921857,-78.839374,419,93.31742243,75.68807339,366,3140,73,118,49,4,30,4,2,106,18,0,12,12,18,4,4,0,0,0,26,14,8,67.78042959,1.431980907,22.43436754,6.682577566,137.4701671,31.02625298
0,231,42.921857,-78.839374,419,93.31742243,75.68807339,366,3140,73,118,49,4,30,4,2,106,18,0,12,12,18,4,10,0,0,0,26,18,12,67.78042959,1.431980907,22.43436754,6.682577566,137.4701671,31.02625298
0,201,42.921857,-78.839374,419,93.31742243,75.68807339,366,3140,73,118,49,4,30,4,2,106,18,0,12,12,18,2,2,0,0,0,38,14,10,67.78042959,1.431980907,22.43436754,6.682577566,137.4701671,31.02625298
0,266,42.921857,-78.839374,419,93.31742243,75.68807339,366,3140,73,118,49,4,30,4,2,106,18,0,12,12,18,6,4,0,4,0,46,20,22,67.78042959,1.431980907,22.43436754,6.682577566,137.4701671,31.02625298
0,270,42.921857,-78.839374,419,93.31742243,75.68807339,366,3140,73,118,49,4,30,4,2,106,18,0,12,12,18,6,18,0,2,0,36,18,16,67.78042959,1.431980907,22.43436754,6.682577566,137.4701671,31.02625298
0,19,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,2,6,0,0,0,8,0,2,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,39,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,2,4,0,2,0,8,0,4,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,56,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,2,4,0,0,0,12,0,2,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,33,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,4,26,0,0,2,14,0,4,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,37,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,4,6,0,0,2,20,0,2,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,89,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,12,24,0,4,2,20,0,2,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,85,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,8,22,0,4,0,26,0,10,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,85,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,8,16,0,0,2,38,0,8,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,62,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,0,30,0,2,2,16,0,4,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,105,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,10,4,0,0,0,34,0,14,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,102,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,4,8,0,0,0,22,2,6,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,114,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,6,22,0,4,0,46,0,4,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,108,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,2,8,0,2,0,30,0,10,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,114,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,2,28,0,4,0,34,0,4,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,121,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,10,14,0,0,0,48,0,22,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,135,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,10,28,0,4,0,44,0,16,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,112,42.905742,-78.839031,855,96.02339181,73.60308285,2798,2140,242,125,29,6,32,22,4,322,46,8,28,12,16,8,4,0,2,0,52,0,14,58.24561404,1.403508772,26.19883041,5.380116959,117.8947368,13.80116959
0,1,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,2,0,0,0,0,2,0,2,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,1,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,0,0,0,2,0,4,0,2,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,1,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,2,4,0,0,0,4,0,0,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,3,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,0,20,0,0,0,14,0,4,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,2,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,0,6,0,0,0,12,0,0,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,3,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,0,0,0,0,0,8,0,10,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,2,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,2,18,0,2,0,8,0,10,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,5,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,2,2,0,2,0,4,0,0,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,1,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,0,0,0,0,0,0,0,0,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,1,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,4,44,0,6,0,14,0,4,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,4,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,4,10,0,2,0,12,0,2,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,1,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,6,10,0,2,0,12,0,2,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,3,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,0,6,0,2,0,14,0,8,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,3,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,4,26,0,0,0,20,0,2,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,3,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,2,6,0,2,0,14,0,2,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,1,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,2,6,0,4,0,16,0,0,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,1,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,2,0,0,2,0,20,0,4,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,1,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,0,18,0,4,0,10,0,16,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,3,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,2,4,0,0,0,18,0,2,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,1,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,4,2,0,0,0,12,0,4,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,1,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,8,12,0,2,0,26,0,2,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,3,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,2,4,0,0,0,12,0,4,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,3,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,2,10,0,0,0,16,0,10,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,2,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,4,30,0,0,0,14,0,0,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,3,42.89659,-78.853956,724,93.64640884,80.33573141,714,1230,235,409,56,7,30,10,6,200,50,0,28,20,16,2,4,0,2,0,20,0,8,43.37016575,1.38121547,15.74585635,1.38121547,100,14.36464088
0,212.5,42.903841,-78.853952,1186,95.10961214,79.22580645,1116,1348,345,262,21,17,34,20,0,248,54,0,10,22,32,0,8,0,0,0,2,0,0,34.90725126,1.349072513,10.96121417,1.854974705,62.9005059,13.49072513
0,54,42.906441,-78.839054,1045,96.84210526,71.89440994,2878,1254,319,162,34,9,24,20,4,340,56,8,34,16,26,2,4,0,4,0,6,0,2,56.45933014,1.339712919,23.3492823,4.401913876,113.1100478,14.35406699
0,106,42.907261,-78.839056,1351,96.81717246,72.1686747,2456,1130,408,223,44,10,18,22,4,386,62,2,32,32,22,8,8,0,2,0,2,0,0,51.22131754,1.33234641,17.91265729,3.25684678,77.57216876,12.58327165
0,179,42.907261,-78.839056,1351,96.81717246,72.1686747,2456,1130,408,223,44,10,18,22,4,386,62,2,32,32,22,4,2,0,2,0,6,0,0,51.22131754,1.33234641,17.91265729,3.25684678,77.57216876,12.58327165
0,163,42.907261,-78.839056,1351,96.81717246,72.1686747,2456,1130,408,223,44,10,18,22,4,386,62,2,32,32,22,6,42,0,6,0,24,0,4,51.22131754,1.33234641,17.91265729,3.25684678,77.57216876,12.58327165
0,164,42.907261,-78.839056,1351,96.81717246,72.1686747,2456,1130,408,223,44,10,18,22,4,386,62,2,32,32,22,10,6,0,0,0,12,0,12,51.22131754,1.33234641,17.91265729,3.25684678,77.57216876,12.58327165
0,67.5,42.902083,-78.853947,927,96.11650485,77.77777778,1018,1160,286,378,21,18,30,10,0,202,42,0,14,22,34,0,2,0,0,0,4,0,0,38.61920173,1.294498382,12.51348436,2.157497303,83.49514563,14.2394822
0,88,42.902083,-78.853947,927,96.11650485,77.77777778,1018,1160,286,378,21,18,30,10,0,202,42,0,14,22,34,4,0,0,2,0,16,0,2,38.61920173,1.294498382,12.51348436,2.157497303,83.49514563,14.2394822
0,96.5,42.902083,-78.853947,927,96.11650485,77.77777778,1018,1160,286,378,21,18,30,10,0,202,42,0,14,22,34,0,10,0,0,0,14,0,0,38.61920173,1.294498382,12.51348436,2.157497303,83.49514563,14.2394822
0,134,42.902083,-78.853947,927,96.11650485,77.77777778,1018,1160,286,378,21,18,30,10,0,202,42,0,14,22,34,10,38,0,6,0,12,0,6,38.61920173,1.294498382,12.51348436,2.157497303,83.49514563,14.2394822
0,1,42.903803,-78.839312,938,89.55223881,75.77741408,2434,2652,250,204,45,7,42,22,6,372,42,18,32,26,18,2,4,0,0,2,2,0,4,67.80383795,1.279317697,38.1663113,4.690831557,175.4797441,20.46908316
0,1,42.903803,-78.839312,938,89.55223881,75.77741408,2434,2652,250,204,45,7,42,22,6,372,42,18,32,26,18,2,4,0,0,0,28,0,2,67.80383795,1.279317697,38.1663113,4.690831557,175.4797441,20.46908316
0,2,42.903803,-78.839312,938,89.55223881,75.77741408,2434,2652,250,204,45,7,42,22,6,372,42,18,32,26,18,0,14,0,0,0,18,0,8,67.80383795,1.279317697,38.1663113,4.690831557,175.4797441,20.46908316
0,2,42.903803,-78.839312,938,89.55223881,75.77741408,2434,2652,250,204,45,7,42,22,6,372,42,18,32,26,18,6,28,0,6,2,26,0,8,67.80383795,1.279317697,38.1663113,4.690831557,175.4797441,20.46908316
0,3,42.903803,-78.839312,938,89.55223881,75.77741408,2434,2652,250,204,45,7,42,22,6,372,42,18,32,26,18,6,46,0,2,0,22,0,8,67.80383795,1.279317697,38.1663113,4.690831557,175.4797441,20.46908316
0,5,42.903803,-78.839312,938,89.55223881,75.77741408,2434,2652,250,204,45,7,42,22,6,372,42,18,32,26,18,10,42,0,6,0,40,0,4,67.80383795,1.279317697,38.1663113,4.690831557,175.4797441,20.46908316
0,65,42.955305,-78.878309,477,16.56184486,89.88326848,314,2276,85,33,64,0,24,4,2,98,14,12,6,4,14,0,12,0,0,0,10,0,0,30.18867925,1.257861635,16.77148847,2.096436059,840.2515723,24.31865828
0,175,42.955305,-78.878309,477,16.56184486,89.88326848,314,2276,85,33,64,0,24,4,2,98,14,12,6,4,14,0,46,0,0,0,20,0,0,30.18867925,1.257861635,16.77148847,2.096436059,840.2515723,24.31865828
